name,url,description
SHL Products,https://www.shl.com/products/,We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options  Get the ultimate view of potential with SHL’s unmatched portfolio of assessments and interview technology.
Measure Past Performance and Future Potential,https://www.shl.com/products/360/,We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options SHL 360 Speak With Our Team
The Smarter Way to Interview Talent,https://www.shl.com/products/video-interviews/,We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Smart Interview Speak With Our Team
Universal Competency Framework (UCF),https://www.shl.com/products/assessments/behavioral-assessments/universal-competency-framework/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options SHL Behavioral Assessments Competencies are ‘sets of behaviors that are instrumental in the delivery of desired results’ (Bartram et al, 2002). In the business context they are behaviors that support the attainment of objectives within the context of that specific organization’s strategy. Competencies are sometimes also called ‘capabilities’ but irrespective of the term used, the focus is on ‘behaviors’ not technical knowledge."
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects. Mid-Professional, Professional Individual Contributor,"
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF. Mid-Professional, Professional Individual Contributor,"
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available. Entry-Level,"
SHL Coding Skills Assessment and Simulations,https://www.shl.com/products/assessments/skills-and-simulations/coding-simulations/,We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Skills & Simulations Speak With Our Team
"Fast, Simple Technical Skill Assessment",https://www.shl.com/products/assessments/skills-and-simulations/technical-skills/,We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Skills & Simulations Speak With Our Team
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions. General Population, Graduate, Entry-Level,"
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries. Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
SHL Cognitive Assessments,https://www.shl.com/products/assessments/cognitive-assessments/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options  Measure potential to learn, adapt, and perform in any role with SHL Verify Interactive cognitive assessments."
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Multiple-choice test that measures the knowledge of processing receivables and invoices. Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
Assess Agents in a Real Contact Center Environment,https://www.shl.com/products/assessments/skills-and-simulations/call-center-simulations/,We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Skills & Simulations Speak With Our Team
SHL Behavioral Assessments,https://www.shl.com/products/assessments/behavioral-assessments/,We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options  Boost the quality of hires for every role by assessing each candidate’s behavioral fit.
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk. Entry-Level,"
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start. Mid-Professional, Professional Individual Contributor,"
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications. Mid-Professional, Professional Individual Contributor,"
,https://www.shl.com/products/assessments/skills-and-simulations/,We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Speak With Our Team 
